SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
208,NIFTY 200,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,INE742F01042
209,NIFTY 200,Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,INE814H01029
210,NIFTY 200,Adani Total Gas Ltd.,ATGL,Gas Transmission/Marketing,INE399L01023
211,NIFTY 200,Aditya Birla Capital Ltd.,ABCAPITAL,Finance - NBFC,INE674K01013
212,NIFTY 200,Alkem Laboratories Ltd.,ALKEM,Pharmaceuticals & Drugs,INE540L01014
213,NIFTY 200,Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,INE079A01024
214,NIFTY 200,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Hospital & Healthcare Services,INE437A01024
215,NIFTY 200,Ashok Leyland Ltd.,ASHOKLEY,Automobiles-Trucks/Lcv,INE208A01029
216,NIFTY 200,Asian Paints Ltd.,ASIANPAINT,Paints,INE021A01026
217,NIFTY 200,Astral Ltd.,ASTRAL,Plastic Products,INE006I01046
218,NIFTY 200,Aurobindo Pharma Ltd.,AUROPHARMA,Pharmaceuticals & Drugs,INE406A01037
219,NIFTY 200,Avenue Supermarts Ltd.,DMART,Retailing,INE192R01011
220,NIFTY 200,Axis Bank Ltd.,AXISBANK,NIFTY PRIVATE BANK,INE238A01034
221,NIFTY 200,BSE Ltd.,BSE,Finance - Others,INE118H01025
222,NIFTY 200,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,INE917I01010
223,NIFTY 200,Bajaj Finance Ltd.,BAJFINANCE,Finance - NBFC,INE296A01032
224,NIFTY 200,Bajaj Finserv Ltd.,BAJAJFINSV,Finance - Investment,INE918I01026
225,NIFTY 200,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance - NBFC,INE118A01012
226,NIFTY 200,Bank of Baroda,BANKBARODA,NIFTY PRIVATE BANK,INE028A01039
227,NIFTY 200,Bank of India,BANKINDIA,NIFTY PRIVATE BANK,INE084A01016
228,NIFTY 200,Bharat Dynamics Ltd.,BDL,Defence,INE171Z01026
229,NIFTY 200,Bharat Electronics Ltd.,BEL,Defence,INE263A01024
230,NIFTY 200,Bharat Forge Ltd.,BHARATFORG,Forgings,INE465A01025
231,NIFTY 200,Bharat Heavy Electricals Ltd.,BHEL,Engineering - Industrial Equipments,INE257A01026
232,NIFTY 200,Bharat Petroleum Corporation Ltd.,BPCL,Refineries,INE029A01011
233,NIFTY 200,Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,INE397D01024
234,NIFTY 200,Billionbrains Garage Ventures Ltd.,GROWW,Capital Markets,INE0HOQ01053
235,NIFTY 200,Biocon Ltd.,BIOCON,Pharmaceuticals & Drugs,INE376G01013
236,NIFTY 200,Blue Star Ltd.,BLUESTARCO,Air Conditioners,INE472A01039
237,NIFTY 200,Bosch Ltd.,BOSCHLTD,Auto Ancillary,INE323A01026
238,NIFTY 200,Britannia Industries Ltd.,BRITANNIA,Consumer Food,INE216A01030
239,NIFTY 200,CG Power and Industrial Solutions Ltd.,CGPOWER,Electric Equipment,INE067A01029
240,NIFTY 200,Canara Bank,CANBK,NIFTY PRIVATE BANK,INE476A01022
241,NIFTY 200,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance - NBFC,INE121A01024
242,NIFTY 200,Cipla Ltd.,CIPLA,Pharmaceuticals & Drugs,INE059A01026
243,NIFTY 200,Coal India Ltd.,COALINDIA,Mining & Minerals,INE522F01014
244,NIFTY 200,Cochin Shipyard Ltd.,COCHINSHIP,Ship Building,INE704P01025
245,NIFTY 200,Coforge Ltd.,COFORGE,IT - Software,INE591G01025
246,NIFTY 200,Colgate Palmolive (India) Ltd.,COLPAL,Household & Personal Products,INE259A01022
247,NIFTY 200,Container Corporation of India Ltd.,CONCOR,Logistics,INE111A01025
248,NIFTY 200,Coromandel International Ltd.,COROMANDEL,Fertilizers,INE169A01031
249,NIFTY 200,Cummins India Ltd.,CUMMINSIND,Diesel Engines,INE298A01020
250,NIFTY 200,DLF Ltd.,DLF,Construction - Real Estate,INE271C01023
251,NIFTY 200,Dabur India Ltd.,DABUR,Household & Personal Products,INE016A01026
252,NIFTY 200,Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals & Drugs,INE361B01024
253,NIFTY 200,Dixon Technologies (India) Ltd.,DIXON,Consumer Durables - Electronics,INE935N01020
254,NIFTY 200,Dr. Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals & Drugs,INE089A01031
255,NIFTY 200,Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,INE066A01021
256,NIFTY 200,Eternal Ltd.,ETERNAL,e-Commerce,INE758T01015
257,NIFTY 200,Exide Industries Ltd.,EXIDEIND,Batteries,INE302A01020
258,NIFTY 200,FSN E-Commerce Ventures Ltd.,NYKAA,e-Commerce,INE388Y01029
259,NIFTY 200,Federal Bank Ltd.,FEDERALBNK,NIFTY PRIVATE BANK,INE171A01029
260,NIFTY 200,Fortis Healthcare Ltd.,FORTIS,Hospital & Healthcare Services,INE061F01013
261,NIFTY 200,GAIL (India) Ltd.,GAIL,Industrial  Gases & Fuels,INE129A01019
262,NIFTY 200,GE Vernova T&D India Ltd.,GVT&D,Electric Equipment,INE200A01026
263,NIFTY 200,GMR Airports Ltd.,GMRAIRPORT,Airport Management Services,INE776C01039
